user_id,needed,technicians_id,covered,rating
1,tire,6,tire,5
2,body,19,body|interior|oil,4
3,engine,5,engine,1
4,interior,14,body|interior,4
5,tire,6,tire,5
6,tire,4,engine|tire,4
7,body,16,body|oil,3
8,interior,11,interior|oil,1
9,oil,9,oil,5
10,tire,18,tire|oil,5
11,oil,20,engine|body|oil,5
12,engine,13,engine|interior,5
13,oil,19,body|interior|oil,5
14,body,7,body,5
15,engine,5,engine,4
16,body,7,body,5
17,body,2,engine|tire|body|interior,4
18,engine,5,engine,5
19,body,14,body|interior,5
20,interior,13,engine|interior,5
21,engine,5,engine,5
22,body,20,engine|body|oil,5
23,body,2,engine|tire|body|interior,3
24,interior,13,engine|interior,4
25,oil,9,oil,5
26,oil,18,tire|oil,1
27,interior,10,tire|body|interior,5
28,body,16,body|oil,4
29,oil,11,interior|oil,4
30,body,10,tire|body|interior,2
31,body,7,body,3
32,oil,9,oil,5
33,engine,20,engine|body|oil,5
34,tire,6,tire,5
35,interior,14,body|interior,4
36,engine,4,engine|tire,5
37,engine,15,engine|oil,5
38,interior,11,interior|oil,2
39,body,2,engine|tire|body|interior,3
40,tire,6,tire,5
41,tire,12,tire|body,5
42,oil,18,tire|oil,5
43,tire,6,tire,4
44,oil,1,engine|tire|body|interior|oil,5
45,tire,3,engine|tire|body,5
46,interior,11,interior|oil,5
47,body,7,body,4
48,oil,16,body|oil,5
49,interior,14,body|interior,4
50,engine,13,engine|interior,3
51,engine,3,engine|tire|body,2
52,oil,11,interior|oil,5
53,oil,15,engine|oil,5
54,tire,3,engine|tire|body,5
55,interior,13,engine|interior,5
56,engine,15,engine|oil,4
57,oil,9,oil,2
58,tire,12,tire|body,4
59,interior,19,body|interior|oil,4
60,oil,9,oil,5
61,interior,10,tire|body|interior,3
62,body,19,body|interior|oil,5
63,tire,18,tire|oil,4
64,interior,1,engine|tire|body|interior|oil,5
65,tire,10,tire|body|interior,1
66,engine,1,engine|tire|body|interior|oil,3
67,oil,15,engine|oil,4
68,engine,2,engine|tire|body|interior,5
69,oil,18,tire|oil,5
70,engine,2,engine|tire|body|interior,2
71,engine,4,engine|tire,5
72,engine,5,engine,4
73,interior,8,interior,5
74,interior,2,engine|tire|body|interior,4
75,tire,18,tire|oil,5
76,interior,10,tire|body|interior,4
77,body,14,body|interior,4
78,interior,14,body|interior,3
79,tire,10,tire|body|interior,4
80,body,7,body,5
81,oil,16,body|oil,5
82,body,14,body|interior,5
83,tire,10,tire|body|interior,5
84,engine,20,engine|body|oil,5
85,oil,15,engine|oil,4
86,engine,20,engine|body|oil,4
87,body,7,body,5
88,engine,20,engine|body|oil,4
89,tire,18,tire|oil,2
90,interior,11,interior|oil,5
91,tire,18,tire|oil,2
92,body,10,tire|body|interior,5
93,body,16,body|oil,3
94,tire,12,tire|body,5
95,body,20,engine|body|oil,3
96,engine,4,engine|tire,4
97,oil,9,oil,3
98,body,16,body|oil,5
99,oil,11,interior|oil,4
100,interior,17,tire|interior,3
